Colonia,Ubicacion,TipoClave,TipoDesc,Clase
366,General Salvador González T. y Aldama,4,Juegos Infantiles,0
81,Lomas de los Ángeles y Lomas Verdes,2,Parque,0
81,Lomas de los Altos y Av. Zoquipan,3,Jardín,0
81,Lomas del Infante entre Líbano y Lomas de Zoquipan,3,Jardín,0
106,Medieros No. 613,1,Plaza Civica,1
195,Av. Mariano Barcenas y Luis Quintero,2,Parque,0
195,Av. Mariano Barcenas y Luis Quintero,3,Jardín,0
195,Av. Mariano Barcenas y Luis Quintero,4,Juegos Infantiles,0
325,Alberto Cinta y Vicente Guerrero,2,Parque,0
325,Alberto Cinta y Vicente Guerrero,3,Jardín,0
325,Prol. Federalismo (COMUDE),4,Juegos Infantiles,1
273,González Gallo y Plan de Guadalupe,2,Parque,0
273,Plan de Guadalupe y Ayala,2,Parque,0
273,Plan de Guadalupe y Tlatelolco,2,Parque,0
273,Plan de Ayala y Tlatelolco,2,Parque,0
273,González Gallo y Plan de Guadalupe,3,Jardín,0
273,Plan de Guadalupe y Plan de Ayala,3,Jardín,0
273,Plan de Guadalupe y Tlatelolco,3,Jardín,0
273,Plan de Ayala y Tlatelolco,3,Jardín,0
273,Plan de Guadalupe,4,Juegos Infantiles,0
273,Plan de Ayala,4,Juegos Infantiles,0
162,Plan de Guadalupe y Andador Cantera Rosa,2,Parque,0
162,Plan de Guadalupe y Andador Cantera Rosa,3,Jardín,0
162,Plan de Guadalupe y Andador Cantera Rosa,4,Juegos Infantiles,0
38,Jesús J. Martínez y Priv. Canteros (COMUDE),4,Juegos Infantiles,1
408,Hipólito Hernández y José María Martínez,4,Juegos Infantiles,1
112,Juana de Arco y Federico García Lorca,1,Plaza Civica,0
36,José Palomar,1,Plaza Civica,1
423,Laureles No. 55,3,Jardín,2
423,Laureles No. 55,2,Parque,2
41,San Mateo y Galeana,2,Parque,0
41,Bugambilia y San Martín,3,Jardín,0
41,Modulo COMUDE,4,Juegos Infantiles,1
377,Andador Ciruelos y Fresas,3,Jardín,1
377,Andador Ciruelos y Fresas,4,Juegos Infantiles,1
272,Arco Graciano,3,Jardín,1
272,Graciano y Santa Monica,3,Jardín,1
272,Santa Monica y Obsidiana,3,Jardín,1
272,Santa Monica y Opalo Oriente,3,Jardín,1
272,Santa Monica y Agua Marina,3,Jardín,1
272,Circuito Fresno Nte.,3,Jardín,1
272,Santa Monica y Jade Sur,4,Juegos Infantiles,1
63,Av. Jesús entre Clavel y Galeana,3,Jardín,1
63,Rosas y Santa Blanca,4,Juegos Infantiles,1
139,"Municipal Francisco Villa, Torremolinos y Valdepeñas",2,Parque,1
139,Torremolinos y Valdepeñas,3,Jardín,1
139,Torremolinos y Valdepeñas,4,Juegos Infantiles,1
91,Calle CTM  y Felipe C. Puerto,2,Parque,1
308,Glorieta en Av Miguel Angel,4,Juegos Infantiles,1
47,,0,Desconocido,0
145,"Rosas y Galeanas, Privada Azaleas y Azaleas Sur
Belisario y Azaleas Sur y Privada Violetas",3,Jardín,1
122,Parque del Palpo Franz Lizet 5598 esq. Johaanes Brahms,2,Parque,0
122,Johannes Brahms entre Mendelssohn y Donizetti,2,Parque,1
122,Johannes Brahms entre Liszt y Berlioz,2,Parque,1
122,Johann Sebastian Bach entre Millet y Velazquez,2,Parque,1
122,Kid's Land Luduteca  Ludwig Van Beethoven 5151 Tel. 13809994,4,Juegos Infantiles,2
201,Ecado Queiros entre Patria y Victor Hugo,3,Jardín,0
300,La primavera,2,Parque,0
18,Paseo de la Arboleda (calle) y Guayabos,3,Jardín,1
51,Av. La Calma entre Sagitario y Osc.Mayor,2,Parque,1
51,Calle Toro  entre Sirio y Perseo,3,Jardín,1
51,Calle Pegaso entre Sagitario y Osc. Mayor,3,Jardín,1
101,Entre San Rafael y San Idelfonso,3,Jardín,0
101,San Gabriel y San Bernardo,3,Jardín,0
101,San Juan y San Gabriel,3,Jardín,0
355,Entre Monarca y P. Marquez,2,Parque,1
401,,0,Desconocido,0
89,Por Paseo Reina Victoria,2,Parque,0
89,"Paseo Rey Juan Carlos, Reyes Catolicos, Paseo Reina Isabel y Paseo Reina Beatriz",3,Jardín,0
89,"Paseo Rey Arturo, En parque por paseo Reina Victoria",4,Juegos Infantiles,0
334,Datil y Oasis Propiedad municipal COMUDE,2,Parque,1
321,Lago Camacuaro y Lago Jinebra entre calle 8,2,Parque,0
104,Lábaro Patrio,4,Juegos Infantiles,0
317,Esparta y Avenida Amèricas,2,Parque,0
17,Calle Egipcio entre Griegos y Romanos,3,Jardín,0
17,Calle Griegos y del Domen (Descuidado),3,Jardín,1
17,Circuito Medas y Av. Romanos,3,Jardín,1
363,Av. Jesus entre Marina Vallarta y Mazatlan,3,Jardín,0
12,"Tafeta y Casimir, en Fracc. Telares",4,Juegos Infantiles,1
12,"Tafeta y Casimir, en Fracc. Telares",2,Parque,1
22,"Mercurio, Diamante y Paseo de la Primavera",2,Parque,1
297,Centro del poblado,1,Plaza Civica,1
248,Shamash 4800,2,Parque,1
248,Shamash 4800,4,Juegos Infantiles,1
323,Circuito Federalistas y Av. Central,3,Jardín,1
323,Circuito Federalistas y Av. Central,4,Juegos Infantiles,1
447,-Inexistente-,99,NINGUNO,99
373,Jalisco y Puebla,1,Plaza Civica,1
448,"Santa Rosa, entre Santa Ana y Santa Teresa",3,Jardín,1
449,Avenida del Paraíso y Lirios,3,Jardín,1
449,Av Santa Lucía,3,Jardín,1
255,Plaza Cívica,4,Juegos Infantiles,1
255,"Hidalgo, entre Leona Vicario y Juárez",1,Plaza Civica,1
61,"Tungsteno, entre plata, oro y arroyo",3,Jardín,1
164,Unidad deportiva,4,Juegos Infantiles,1
259,- Inexistente -,99,NINGUNO,99
364,Manuel Acuña y Benito Juárez,1,Plaza Civica,1
364,Guadalupe Victoria y 16 de septiembre,4,Juegos Infantiles,1
1,- Inexistente -,99,NINGUNO,99
261,- Inexistente -,99,NINGUNO,99
137,Av. Santa Ana,2,Parque,1
381,- Inexistente -,99,NINGUNO,99
52,Leona Vicario,4,Juegos Infantiles,1
80,,99,NINGUNO,99
140,,0,,0
140,Fresno y Pirul,4,Juegos Infantiles,1
452,Cerezo de Cayena,3,Jardín,1
452,Bambú y Cerezo de Cayena,4,Juegos Infantiles,1
452,Bambú 15 y Bambú,3,Jardín,1
452,Bambú 35 y Bambú 16,4,Juegos Infantiles,1
452,Bambú 113 y Primavera,4,Juegos Infantiles,1
452,Primavera y Granado,3,Jardín,1
452,Bambú 285 y Primavera,2,Parque,1
95,Melchor Ocampo y Av. Colli,1,Plaza Civica,1
95,Ramón Corona y Melchor Ocampo,4,Juegos Infantiles,1
236,San Miguel y Las Torres,3,Jardín,1
155,Tchaikovski y Matador,2,Parque,1
155,Tchaikovsky y Matador,4,Juegos Infantiles,1
322,Misión San Antonio y San Esteban,2,Parque,1
322,Misión San Pedro y San Matías,3,Jardín,2
453,"Parque Metropolitano - Av. Ecónomos, Independencia, Beethoven",2,Parque,1
258,Andador Nueva Primavera y Playa Banderas,3,Jardín,1
258,Andador Playa Bonita y Playa Banderas (en mal estado),4,Juegos Infantiles,1
141,- Inexistente -,99,NINGUNO,99
85,Cedros y Av. Fresno,2,Parque,1
85,Cedros y Pinos,1,Plaza Civica,1
85,Jacarandas y Araucarias,3,Jardín,1
85,Palmillas y Fresnos,2,Parque,1
85,Mezquite y Encinos,3,Jardín,1
85,Eucaliptos y Ceibas,3,Jardín,1
85,Roble y Barcinos,3,Jardín,1
375,"Norte y oriente de la colonia, ingreso al Bosque del Nixticuil",2,Parque,1
454,- Inexistente -,99,NINGUNO,99
90,- Inexistente -,99,NINGUNO,99
113,Conocida,4,Juegos Infantiles,1
451,,99,NINGUNO,99
263,San Ramón (frente al templo),1,Plaza Civica,1
455,,99,NINGUNO,99
180,- Inexistente -,99,NINGUNO,99
250,"Puerto Vallarta, entre Altamira y Puerto Príncipe",2,Parque,1
250,Plaza de Toros en Puerto Chamela y Puerto Topolobampo,0,Desconocido,2
19,Isaac Newton y Lira,2,Parque,1
19,Aurora Boreal Norte y Sur,2,Parque,1
19,"Aurora Boreal Norte, Centauro y Pedro Simón Laplace",2,Parque,1
19,Serpentario entre Carnero y Sagitario,2,Parque,1
19,Keppler y Laplace,2,Parque,1
19,Kepler y Ptolomeo,2,Parque,1
380,Keppler y Ptolomeo,2,Parque,1
369,Casco de la Hacienda,1,Plaza Civica,1
456,Inexistente,99,NINGUNO,99
365,- Inexistente -,99,NINGUNO,99
169,- Inexistente -,99,NINGUNO,99
97,- Inexistente -,99,NINGUNO,99
146,Av. Las Torres y Vicente Álvarez,4,Juegos Infantiles,1
226,- Inexistente -,99,NINGUNO,99
93,Playa Condesa y Playa Bruja,3,Jardín,1
93,Playa del Rey y Playa del Tesoro,3,Jardín,1
34,Pirul y Toronja,2,Parque,1
151,"Alberca y Juegos infantiles, en el interior de la colonia",4,Juegos Infantiles,2
426,- Inexistente -,99,NINGUNO,99
427,- Inexistente -,99,NINGUNO,99
14,"Rinconada de Cáceres, Rinconada de Vizen y Rinconada Peñaranda",2,Parque,1
125,Jardín de jazmines,3,Jardín,1
125,La creación y Frida Khalo,3,Jardín,1
125,El puente y Av. La Castilla,3,Jardín,1
125,Vista del Pinar y Vista del Mar,3,Jardín,1
125,Provincia de Guadalajara y Provincia de Asturias,3,Jardín,1
154,"Josco, Estocada, Revolera, Topacarmelo",2,Parque,1
376,- Inexistente -,99,NINGUNO,99
191,- Inexistente -,99,NINGUNO,99
337,-Inexistente-,99,NINGUNO,99
459,- Inexistente -,99,NINGUNO,99
457,,99,NINGUNO,99
458,,99,NINGUNO,99
338,San Bernardo (Área verde descuidada),3,Jardín,1
411,Magnolias y Av. de las Calandrias,2,Parque,1
411,Magnolias y Av. de las Calandrias,4,Juegos Infantiles,1
460,Valle de Atotonilco y Valle de Atemajac,1,Plaza Civica,1
460,Valle de Atotonilco y Valle de Atemajac,4,Juegos Infantiles,1
460,Terraza en Antiguo camino a Copalita y Valle de Atemajac,0,Desconocido,1
461,Av. Paraiso Poniente,4,Juegos Infantiles,2
461,Campo Corona,4,Juegos Infantiles,2
461,P. Poniente,0,Centro Barrial,2
50,Eca Do Queiros,1,Plaza Civica,1
46,- Inexistente -,99,NINGUNO,99
54,"San Felipe Neri y San Antonio de Padua, entre Santo Tomás de Aquino",2,Parque,1
67,- Inexistente -,99,NINGUNO,99
62,- Inexistente -,99,NINGUNO,99
130,- Inexistente -,99,NINGUNO,99
128,- Inexistente -,99,NINGUNO,99
466,Menorca y Canarias,2,Parque,1
466,Av. Federalistas y Castilla La Mancha,2,Parque,1
466,Río Henares y Sierra Morena,2,Parque,0
466,Río Henares y Sierra Morena,4,Juegos Infantiles,1
466,Castilla la Mancha y El Escorial,3,Jardín,1
466,Coto Alhambra,2,Parque,1
466,Coto Valladolid,2,Parque,1
465,- Inexistente -,99,NINGUNO,99
464,Viñedos y Viña Alegre,3,Jardín,1
464,Viña Norte,3,Jardín,1
463,Priv. del Levante,2,Parque,1
463,Priv. Sol Naciente y Sol Naciente,2,Parque,1
463,Priv. Girasol y Girasol,2,Parque,1
463,Carro del Sol y de la Aurora,3,Jardín,1
462,Galicia y Bosque Valdepeñas,3,Jardín,1
339,Calle 8,2,Parque,1
339,Mirador en Calle 8,2,Parque,1
339,"Calle 8, Coto Santa Luza",4,Juegos Infantiles,1
339,"Terraza en Coto Santa Luza, Calle 8",2,Parque,2
20,Ecónomos y J. Brahms,2,Parque,1
475,Av. Quinta del bosque,3,Jardín,2
475,"Casa Club, av. Quinta del Bosque",3,Jardín,2
378,Inexistente,99,Desconocido,99
198,Valle del tiber y valle vulga,3,Jardín,1
198,Valle del mayo y valle del balsas,3,Jardín,1
198,Valle maguey y de las yucas,3,Jardín,1
186,Inexistente,99,Desconocido,99
178,Inexistente,99,Desconocido,99
185,"Inexistente",99,Desconocido,99
197,Tulum entre Palenque y Kabah,3,Jardín,1
182,Av. Tepeyac y Prados Ixtepete,3,Jardín,1
182,Tlalpanj y J. López Portillo,1,Plaza Civica,1
182,J. López Portillo y av. Tepeyac,4,Juegos Infantiles,1
209,"Inexistente",99,Desconocido,99
213,Inexistente,99,Desconocido,99
215,Paseo de la Luma entre Cáncer y Aurora Boreal,2,Parque,1
211,Ballena y Salmón,3,Jardín,1
211,"Ballena, Arrenque y Mariposa",0,,0
212,Av. Obsidiana y av. M. champagnat,2,Parque,1
212,Av. Champagnat y Charal,2,Parque,1
245,Inexistentes,99,NINGUNO,99
476,Inexistente,99,Desconocido,99
267,,0,Desconocido,0
267,,99,NINGUNO,0
479,"Entre V. Tenochtitlán, V. Palenque y V. Cuicuilco",4,Juegos Infantiles,1
478,,99,NINGUNO,0
477,,99,NINGUNO,99
142,Prolongación José López Portillo y Privada Tepeyac,4,Juegos Infantiles,0
350,,99,NINGUNO,0
217,San Juan Bosco y Abogados,3,Jardín,1
229,,99,NINGUNO,0
268,,99,NINGUNO,0
269,,99,NINGUNO,0
270,,99,NINGUNO,0
480,Av. Prolongación Guadalajara y Ajijic,3,Jardín,1
240,,0,Desconocido,0
486,,99,NINGUNO,0
484,Mozart y Tchaikovsky,3,Jardín,1
485,,99,NINGUNO,0
483,,99,NINGUNO,0
482,Palmas y Laureles,1,Plaza Civica,1
481,,99,NINGUNO,0
252,Paseo de las Aves y Arroyo,2,Parque,1
252,Camino a las Misiones y Arroyo,2,Parque,1
134,,99,NINGUNO,0
214,Circuito La Loma,2,Parque,2
301,Paseo de los Virreyes N° 555,2,Parque,1
301,Por la Barranca,2,Parque,1
490,,99,NINGUNO,0
491,,99,NINGUNO,0
489,,99,NINGUNO,0
487,,99,NINGUNO,0
488,,99,NINGUNO,0
126,Frente al templo (Atrio con bancas),1,Plaza Civica,1
492,,99,NINGUNO,99
175,Morelos y Vicente Guerrero,1,Plaza Civica,1
298,Entre Playa Verde y Playa Bonita,3,Jardín,1
289,,99,NINGUNO,0
295,Prados de los Lirios y Pradoas Cipres,2,Parque,1
493,,99,NINGUNO,0
494,,99,NINGUNO,0
303,Pirul y Azalea,3,Jardín,1
311,,99,NINGUNO,0
315,,99,NINGUNO,0
495,Paseo de las Aves y Av. Las Canteras,3,Jardín,1
495,Misión del Bajio y Paseo de las Aves,3,Jardín,1
495,Terraza y Jardín con juegos infantiles en Circuito del Atalaya,4,Juegos Infantiles,1
495,Ciurcuito del Atalaya,2,Parque,1
495,Av. Canteras,3,Jardín,1
496,Circuito Parques del Centinela,3,Jardín,1
496,Circuito Parques del Centinela,4,Juegos Infantiles,1
497,En cada uno de los Cotos,3,Jardín,1
497,"Paseo de la Castilla, frente al coto El Escorial",2,Parque,1
363,Av. Jesus entre Marina Vallarta y Mazatlan,4,Juegos Infantiles,0
17,Calle Griegos y Persas del Centro Escolar,2,Parque,1
430,"Retornos de: Los Alamos, Santa Fe, Las Cruces, Artesia y Portales.",3,Jardín,1
432,San Agustín Caloca,2,Parque,1
119,5 de Mayo y Lázaro Cárdenas,1,Plaza Civica,1
433,Campanario y Rodeo,3,Jardín,1
433,Rodeo y Coronado,4,Juegos Infantiles,1
433,Coronado y Rodeo,3,Jardín,1
433,Centro social en Rodeo y Coronado,0,Desconocido,1
434,,99,NINGUNO,0
436,Circuito de las Flores Sur y Circuito Mimosas,3,Jardín,1
436,Circuito de las Flores Poniente y Circuito de las Flores Poniente (ambas calles se llaman igual),3,Jardín,1
271,Antonio Cruzado y Lázaro Cárdenas,4,Juegos Infantiles,1
271,Antonio Cruzado y Lázaro Cárdenas,3,Jardín,1
271,Fray Francisco Paldo y San Mateo,3,Jardín,1
271,Fray Miguel Pieras (Terraza/Centro Social),1,Plaza Civica,1
167,"Conocido, Balneario Huaxtla",2,Parque,2
56,"Entre Cóndor, Palomas y Jilguero",3,Jardín,1
234,Cempasuchil y Violeta,3,Jardín,1
437,San Roberto y San Roberto 110,4,Juegos Infantiles,1
437,"Centro Social, en San Mateo y San Mateo 210",0,Desconocido,1
202,Av. Inglaterra y Av. de los Escritores,3,Jardín,1
202,Novelistas y Av. Patria,3,Jardín,1
280,"Tomás Fuller, J.L. Stevenson y Naciones Unidas",2,Parque,1
280,"Tomás Fuller, J.L. Stevenson y Naciones Unidas",4,Juegos Infantiles,1
187,Shakespeare e Inglaterra,2,Parque,1
187,R. Kipling y Honorato de Balzac,2,Parque,1
319,"Playa de Santiago, entre Volcán Tancítaro y Av. Paseo de los Volcanes",2,Parque,1
179,Novelistas y Escritores,3,Jardín,1
335,Rinconada de la Orquídea y Girasol,2,Parque,1
335,Manuel Acuña y Rinconada Amapola (Parque Hundido),2,Parque,1
383,"Cd. Querétaro, Constituyentes Jal., y Teatro de la República",3,Jardín,1
383,"Cd. Querétaro, Ejército Constitucioanlista y Constituyentes",3,Jardín,1
205,Inglaterra y Piscis,3,Jardín,1
205,Libra y Acuario,3,Jardín,1
308,Glorieta de Av. Miguel Angel,3,Jardín,1
440,Alcatraz y Tulipán,2,Parque,1
440,Paseo del Almendro y Granado (Jardín y Centro Social),3,Jardín,1
440,Frambuesa y Granado,4,Juegos Infantiles,1
440,Tuna y Tuna 84,3,Jardín,1
440,Pera y Naranja,3,Jardín,1
440,Toronja y Toronja 113,2,Parque,1
442,Circuito Hacienda Palomas y Retorno Hacienda de la Noria,4,Juegos Infantiles,1
442,Circuito Haciena Las Palomas,2,Parque,1
385,Andador Ma. Cristina Peña,2,Parque,1
18,Paseo Arboledas y Ahuehuetes,3,Jardín,1
18,Paseo Arboledas y Casuarinas,3,Jardín,1
18,"Paseo Arboledas, entre Av. Tesistán y Santa Margarita",4,Juegos Infantiles,1
18,Paseo Arboledas y Pinabetes,4,Juegos Infantiles,1
104,(Parque Hundido ) en Lábaro Patrio,2,Parque,1
232,G. Leroux y Rosario Castellanos,2,Parque,1
232,Ariosto y Cavafis,3,Jardín,1
336,Mabuse y Rosario Castellanos,2,Parque,1
276,Volcán y Nieve,3,Jardín,1
302,"Rancho Contento (Asadores, Parques, Casa club, Sombrillas, etc.)",2,Parque,2
360,"Juan Manuel Ruvalcaba, entre Morelos y Pedro Moreno",1,Plaza Civica,1
446,Francisco Zarco y Nicolás Bravo,4,Juegos Infantiles,1
82,Av. del Tesoro y Priv. Río Apozolco,2,Parque,1
11,Sierra de Bolaños y Sierra de Quila,3,Jardín,1
11,Sierra de Autlán y Sierra Comanja,3,Jardín,1
11,Sierra Pihuamo y Sierra de Mazamitla,3,Jardín,1
291,"Paseo de los Abedules, Gardenias y Guamúchil",4,Juegos Infantiles,1
467,Circuito Real de Tesistán 245,2,Parque,1
467,Camellón del Circuito Real de Tesistán,3,Jardín,1
467,Circuito Real de Tesistán 161,4,Juegos Infantiles,1
467,Terraza en Circuito Real de Tesistán 161,3,Jardín,1
468,Coto Sevilla,3,Jardín,1
468,Jalisco,4,Juegos Infantiles,1
468,Terraza en Jalisco y Antiguo Camino a Tesistán,2,Parque,1
470,Ingreso a la colonia,2,Parque,1
470,Casa Blanca 65 (Parque Municipal),2,Parque,1
470,Terraza en Casa Blanca 65,3,Jardín,1
470,Parque con terraza y juegos infantiles en Av Casa Blanca,2,Parque,1
470,Todas las esquinas de Av. Casablanca,3,Jardín,1
469,- Inexistente -,99,NINGUNO,99
471,Cibeles y Priv. de Hera,2,Parque,1
471,Río Oise y Circuito de los 4 Ríos,2,Parque,1
471,Circuito del Tritón,1,Plaza Civica,1
471,Carretera a Tesistán,3,Jardín,1
394,Emiliano Zapata y Agustín Yañez,1,Plaza Civica,1
394,Emiliano Zapata y Agustín Yañez,4,Juegos Infantiles,1
394,Balneario Chato Rojas al fondo de la calle Tabachines,0,Desconocido,2
150,Eje Central y Cerrada Banderilleros,1,Plaza Civica,1
150,Eje central y Cerrada de la Calesa,3,Jardín,1
150,Casa club en Cda. Matador y Curro Rivera,0,Desconocido,2
150,Cda del Tercio y Cda del Matador,3,Jardín,1
69,Aranzazú y Olímpica,3,Jardín,1
69,Aranzazú y Olímpica,4,Juegos Infantiles,1
143,- Inexistente -,99,NINGUNO,99
159,Calle Leona Vicario,4,Juegos Infantiles,1
163,- Inexistente -,99,NINGUNO,99
153,- Inexistente -,99,NINGUNO,99
64,- Inexistente -,99,NINGUNO,99
133,Parres Arias,4,Juegos Infantiles,1
148,Paseo de los ganaderos y Ganaderos Sur,3,Jardín,1
148,Ganaderos Poniente y Norte,3,Jardín,1
148,Ganaderos Poniente y Sur,3,Jardín,1
124,Velazquez y Durero,2,Parque,1
78,Jardín de Av. Palmas y Vallarta,4,Juegos Infantiles,1
78,Glorieta de Calzada Central y Norte,1,Plaza Civica,1
78,Glorieta de Calzada Pirules y Vallarta,3,Jardín,1
68,-Inexistente-,99,NINGUNO,99
70,12 de diciembre y Juan Diego (Glorieta),3,Jardín,1
72,- Inexistente -,99,NINGUNO,99
472,Todos los cotos,4,Juegos Infantiles,1
472,Todos los cotos,3,Jardín,1
472,Maracuya y Canelo,1,Plaza Civica,1
473,- Inexistente -,99,NINGUNO,99
171,- Inexistente -,99,NINGUNO,99
31,- Inexistente -,99,NINGUNO,99
75,Niño obrero y Parque Juan Diego,3,Jardín,1
75,Santa Teresa de Jesus,2,Parque,2
318,Severo Díaz y José Ma. Arreola,3,Jardín,1
266,Prolongación Colli y Arrayan,1,Plaza Civica,1
96,Olivos y grana,3,Jardín,1
96,Guerrero y Grana,3,Jardín,1
96,Guerrero y tepito,4,Juegos Infantiles,1
396,Inexistente,99,Desconocido,99
275,Inexistente,99,NINGUNO,99
474,Inexistente,99,Desconocido,99
497,"Paseo de las Castilla, frente al coto El Escorial",4,Juegos Infantiles,1
353,,99,NINGUNO,0
108,Constituyentes y Gral. Juan Dominguez,1,Plaza Civica,1
346,"Mirador Dr. Atl, Carretera a Saltillo",3,Jardín,1
346,"Balneario ""El Amigo"" Carretera a San Esteban",3,Jardín,2
343,Rodeo en Calle Benito Juárez s/n,3,Jardín,2
310,Laplece y Alioth entre Carnero y Sagitario,2,Parque,1
324,Esmeralda y Brillante,2,Parque,1
324,"Ascerina, Gama y Ambar",2,Parque,1
251,Misión Atequiza y Zapotlanejo (Parque y juegos infantiles),2,Parque,1
498,Paseo de las Quintas Poniente. (Parque y Juegos infantiles),2,Parque,1
498,Valle de las Quintas Oriente y Parque de las Quintas,3,Jardín,1
498,Valle de las Quintas Oriente y Parque de las Quintas.,4,Juegos Infantiles,1
498,Parques de las Quintas (Coto Real Quintas del Valle),4,Juegos Infantiles,1
499,Escuadrón 2001 (Terraza Jardín),3,Jardín,1
499,Escuadrón 201,4,Juegos Infantiles,1
499,Valle de Mazamitla (Terraza Jardín),3,Jardín,1
499,Valle de Mazamitla (Terraza jardín),3,Jardín,1
500,Valle de México y privada Mandarinos Poniente (Terraza),3,Jardín,1
501,Valle de San Pablo y Valle de San Francisco (Parque y Terraza),2,Parque,1
502,Calle Rinconada (Terraza),2,Parque,1
502,Calle Rinconada,4,Juegos Infantiles,1
503,Calle Tulipanes y Gardenia,3,Jardín,1
503,Gardenia y Alcatraz,4,Juegos Infantiles,1
503,Gardenia y Alcatraz,2,Parque,1
503,Azaleas y Gladiola,3,Jardín,1
504,Calle Tuxpan (Terraza),3,Jardín,1
7,"Guadalupe Gallo Frente al 22, Parque del Sindicato de Trabajadores de la Industria Embotelladora",2,Parque,2
349,"hidalgo y Francisco I. Madero, entre Privada hidalgo",1,Plaza Civica,1
342,circuito San Bernardo,4,Juegos Infantiles,2
342,Alberca en circuito San Bernardo,0,Desconocido,2
342,Terraza en circuito San Bernardo,0,Desconocido,2
341,Alberca en La Colina Coto N° 5395,0,Desconocido,2
341,"Terraza en La Colina, Coto N° 5395",0,Desconocido,2
341,"Terraza en Compina, Coto N° 5395",0,Desconocido,2
341,"Terraza ""Pradera"" Coto N° 5395",0,Desconocido,2
341,"Terraza en Paseos la Loma, coto N° 5395",0,Desconocido,2
341,"Terraza  en La alameda, Coto N° 5395",0,Desconocido,2
309,,99,NINGUNO,99
314,,99,NINGUNO,99
287,,99,NINGUNO,99
506,Terraza en privada Compositores,0,Desconocido,2
506,Privada compositores,4,Juegos Infantiles,2
505,Calle Puerta la Plata,3,Jardín,2
329,Inexistente,99,NINGUNO,99
331,Inexistente,99,NINGUNO,99
357,Coban y Playa de Chamela,2,Parque,1
357,Coban y Playa de Chamela,4,Juegos Infantiles,1
420,"Calle Ejido del Colli, en las faldas del cerro",2,Parque,1
420,"Calle Ejido del Colli, en las faldas del cerro",4,Juegos Infantiles,1
160,Luis Gonzaga Osollo esq. Rincón de los Cipreses,3,Jardín,1
374,- Inexistente -,99,NINGUNO,99
129,- Inexistente -,99,NINGUNO,99
507,,0,,0
508,Calle de la Bondad,4,Juegos Infantiles,1
508,Calle de la alegría y calle de la fraternidad,3,Jardín,1
508,Fraternidad y Amistad,4,Juegos Infantiles,1
508,Terraza pública en Fraternidad y Amistad,2,Parque,1
509,Villa Caracol y Villa Perla,4,Juegos Infantiles,1
509,Villa del Sol y Villa Coral,2,Parque,1
479,Coto La Arboleda,3,Jardín,2
479,Paseo de la maternidad,2,Parque,1
510,Inexistente,99,NINGUNO,99
356,Plaza Cívica,1,Plaza Civica,1
15,"Balneario Los Alamitos, en Encino 1010",2,Parque,2
511,Inexistente,99,NINGUNO,99
512,Bosques de Aguascalientes y Bosques del Centinela,3,Jardín,1
512,Bosques de Jalisco y Bosques del Centinela,4,Juegos Infantiles,1
512,Terraza Pública y Centro Social en Circuito Bosques del Centinela y Av. Bosques del Centinela,2,Parque,1
512,Bosques de Nayarit,3,Jardín,1
30,,99,NINGUNO,99
